ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,TrafficLevel,VehicleTypeWeight,Hour,Minute,Month,Date,OccRatio,BasePrice,Alpha,Beta,Gamma,Delta,Epsilon,Price_alpha,Price_beta,Price_gamma,Price_delta,Price_epsilon,PredictedPrice
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,2016-10-04,07:59:00,1,1.0,7,59,10,4,0.10571923743500866,5,3.0,0.07,0.05,0.3,0.2,1.59,0.35,-0.25,0.0,1.0,7.69
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,2016-10-04,08:25:00,1,1.0,8,25,10,4,0.11091854419410745,5,3.0,0.07,0.05,0.3,0.2,1.66,0.35,-0.25,0.0,1.0,7.76
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0,2016-10-04,08:59:00,1,1.0,8,59,10,4,0.1386481802426343,5,3.0,0.09,0.05,0.3,0.2,2.08,0.9,-0.25,0.0,1.0,8.73
3,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,low,2,0,2016-10-04,09:32:00,1,1.0,9,32,10,4,0.1854419410745234,5,3.0,0.09,0.05,0.3,0.2,2.78,0.9,-0.25,0.0,1.0,9.43
4,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,2,0,2016-10-04,09:59:00,1,0.5,9,59,10,4,0.25996533795493937,3,3.0,0.09,0.05,0.3,0.1,2.34,0.54,-0.15,0.0,0.15,5.88
5,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,low,3,0,2016-10-04,10:26:00,1,1.0,10,26,10,4,0.30675909878682844,5,3.0,0.11,0.05,0.3,0.2,4.6,1.65,-0.25,0.0,1.0,12.0
6,BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,high,6,0,2016-10-04,10:59:00,3,1.5,10,59,10,4,0.37954939341421146,10,2.0,0.17,0.15,0.3,0.3,7.59,10.2,-4.5,0.0,4.5,27.79
7,BHMBCCMKT01,577,26.14453614,91.73617216,247,car,average,5,0,2016-10-04,11:25:00,2,1.0,11,25,10,4,0.42807625649913345,5,1.5,0.15,0.1,0.3,0.2,3.21,3.75,-1.0,0.0,1.0,11.96
8,BHMBCCMKT01,577,26.14453614,91.73617216,259,cycle,average,5,0,2016-10-04,11:59:00,2,0.3,11,59,10,4,0.4488734835355286,2,1.5,0.15,0.1,0.3,0.06,1.35,1.5,-0.4,0.0,0.04,4.48
9,BHMBCCMKT01,577,26.14453614,91.73617216,266,bike,high,8,0,2016-10-04,12:29:00,3,0.5,12,29,10,4,0.4610051993067591,3,1.2,0.21,0.15,0.3,0.1,1.66,5.04,-1.35,0.0,0.15,8.5
