SystemCodeNumber_BHMBCCMKT01,SystemCodeNumber_BHMBCCTHL01,SystemCodeNumber_BHMEURBRD01,SystemCodeNumber_BHMMBMMBX01,SystemCodeNumber_BHMNCPHST01,SystemCodeNumber_BHMNCPNST01,SystemCodeNumber_Broad Street,SystemCodeNumber_Others-CCCPS105a,SystemCodeNumber_Others-CCCPS119a,SystemCodeNumber_Others-CCCPS135a,SystemCodeNumber_Others-CCCPS202,SystemCodeNumber_Others-CCCPS8,SystemCodeNumber_Others-CCCPS98,SystemCodeNumber_Shopping,TrafficConditionNearby,Capacity,Occupancy,VehicleType,QueueLength,IsSpecialDay,Month,Date,Hour,Minute,Price
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.0,61.0,1.0,1.0,0.0,10.0,4.0,7.0,59.0,5.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,120.0,1.0,2.0,0.0,10.0,4.0,7.0,59.0,5.32
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,117.0,1.0,2.0,0.0,10.0,4.0,7.0,59.0,6.25
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.0,264.0,1.0,2.0,0.0,10.0,4.0,7.0,59.0,6.99
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,237.0,0.0,2.0,0.0,10.0,4.0,7.0,59.0,3.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,249.0,1.0,2.0,0.0,10.0,4.0,7.0,59.0,8.15
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,178.0,1.0,2.0,0.0,10.0,4.0,7.0,59.0,9.69
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,709.0,1.0,2.0,0.0,10.0,4.0,7.0,59.0,10.46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2803.0,195.0,1.0,1.0,0.0,10.0,4.0,7.0,59.0,11.52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3883.0,1081.0,1.0,2.0,0.0,10.0,4.0,7.0,59.0,11.73
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2937.0,547.0,0.0,2.0,0.0,10.0,4.0,7.0,59.0,3.59
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1322.0,445.0,0.0,3.0,0.0,10.0,4.0,7.0,59.0,4.15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3103.0,588.0,1.0,2.0,0.0,10.0,4.0,7.0,59.0,12.56
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1920.0,614.0,2.0,2.0,0.0,10.0,4.0,7.0,59.0,2.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.0,64.0,1.0,1.0,0.0,10.0,4.0,8.0,25.0,13.04
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,387.0,129.0,1.0,2.0,0.0,10.0,4.0,8.0,25.0,13.37
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,174.0,0.0,1.0,0.0,10.0,4.0,8.0,25.0,4.99
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.0,302.0,1.0,1.0,0.0,10.0,4.0,8.0,25.0,14.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,315.0,0.0,2.0,0.0,10.0,4.0,8.0,25.0,6.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,267.0,3.0,2.0,0.0,10.0,4.0,8.0,25.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,269.0,1.0,2.0,0.0,10.0,4.0,8.0,25.0,15.52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2009.0,780.0,1.0,3.0,0.0,10.0,4.0,8.0,25.0,16.69
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2803.0,238.0,1.0,2.0,0.0,10.0,4.0,8.0,25.0,17.66
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3883.0,1467.0,0.0,3.0,0.0,10.0,4.0,8.0,25.0,6.89
